data	V1	V2	V3	V4	V5	V6	V7	V9	V10	V11	V12	V13	V14	V15	V16	V17	V21	V22	V23	V24	V25	V26	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V40	V46	V47	V66	V67	V69	V70	V71	V75	V76	V81	V82	V83	V84	V85	V86	V87	V88	V89	V93	V94	V95	V96	V97	V107	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121
4T11	0.50	0.56	0.19	0.51	0.73	0.61	0.79	-0.16	-0.12	0.19	0.11	0.62	0.49	0.41	0.54	0.58	0.91	0.49	5236.92	5766.63	5484.48	10.16	2745.86	2577.20	3132.83	214235.31	131375615.00	158595.08	420872648.00	160792.83	1649901.27	3126468.03	3420779.73	4.83	-133.00	-0.21	18325.71	22127.20	352012.00	-6591.10	-76287.90	4376382.00	158.17	418.94	102.40	102.00	103.60	117.00	101.60	101.10	104.90	100.10	261.25	238.01	18.60	4.64	5.47	348414.00	-1933.69	-128710.48	-2.94	23.06	31.89	-8.83	1508546.91	1861219.74	-352672.83	391595.10
1T12	0.21	0.25	0.18	-0.08	0.49	0.15	0.60	0.56	0.43	0.27	0.51	0.48	0.22	0.21	0.26	0.28	0.82	0.49	5388.58	5995.19	5679.14	8.91	2905.86	2693.31	3349.12	201956.13	116998568.00	145577.90	429860852.00	148173.90	1648106.10	3280594.77	3560241.32	5.06	696.30	-1.98	18886.75	20910.73	365216.00	-6122.90	-78346.30	4489323.30	164.42	473.01	98.20	101.00	98.00	103.30	97.60	97.90	93.50	99.50	313.18	294.81	15.53	2.84	7.88	300512.00	-10441.92	-135421.00	-3.02	23.27	31.74	-8.47	1538168.37	1885914.05	-347745.67	392996.50
2T12	0.08	0.18	0.15	-0.31	0.39	0.23	0.11	0.69	0.66	0.73	0.73	0.32	-0.09	0.05	0.07	0.39	0.64	0.49	5525.73	6352.55	5938.36	7.64	3078.50	2780.30	3601.07	198858.46	120691223.00	149653.67	449801588.00	152913.77	1691859.07	3378112.77	3643522.44	5.25	225.10	-0.25	18552.56	19352.83	373910.00	-7064.70	-80518.90	4585734.80	162.35	466.22	99.00	100.20	98.80	99.90	98.50	99.40	101.70	97.70	277.72	265.55	8.82	3.36	6.35	353169.00	-2794.22	-116179.86	-2.53	21.61	31.39	-9.79	1503397.40	1912794.84	-409397.43	398714.50
3T12	0.57	0.48	0.30	0.92	0.43	0.55	0.54	0.88	0.97	1.05	0.22	0.39	0.39	0.47	0.51	0.49	0.54	0.45	5635.24	6528.77	6085.78	7.27	3270.71	2891.61	3897.84	202200.01	128434260.00	153611.00	474052528.00	155189.76	1737700.02	3509444.35	3757564.16	5.26	545.80	3.70	17445.09	19998.38	378726.00	-4811.40	-78645.70	4703849.50	158.29	459.25	100.70	96.60	101.10	98.50	101.30	100.50	102.30	100.30	288.05	273.84	11.05	3.16	6.49	288079.00	-1590.59	-99889.48	-2.12	21.29	30.92	-9.63	1534581.04	1947351.29	-412770.25	393524.70
4T12	0.79	0.69	0.33	0.86	1.00	0.82	0.66	0.66	0.68	0.63	0.16	0.47	0.88	0.76	0.67	0.56	0.55	0.45	5737.46	6758.72	6268.52	7.09	3478.38	3014.91	4204.60	233371.45	149638726.00	176396.68	497139074.00	183846.90	1792891.49	3609680.51	3860098.79	5.13	279.10	6.05	17505.25	19748.29	373147.00	-8860.80	-83800.10	4814760.00	161.81	450.23	101.30	101.10	102.00	100.10	101.70	102.40	105.50	101.60	268.32	256.78	8.91	2.63	5.78	359306.00	-22252.31	-104951.19	-2.18	20.82	29.89	-9.07	1550083.08	1939737.09	-389653.98	423195.90
1T13	0.47	0.49	0.26	0.36	0.69	-0.17	0.72	0.31	0.21	0.22	0.50	0.52	0.31	0.35	0.46	0.47	0.55	0.41	5817.56	6733.01	6280.50	7.48	3401.15	3026.45	4043.74	207717.49	133353634.00	164205.48	514654970.00	169180.35	1784054.64	3690666.04	3937286.92	4.91	680.90	-1.87	19157.19	19320.43	376934.00	-6432.90	-86718.90	4926909.40	159.96	480.89	101.20	93.00	102.30	111.90	99.90	101.30	102.30	100.80	328.93	308.61	16.53	3.79	8.74	283889.00	-3500.02	-89699.09	-1.82	21.22	29.93	-8.70	1596279.86	1976048.17	-379768.30	427409.80
2T13	0.26	0.38	0.38	0.11	0.32	0.32	0.35	0.76	0.75	0.63	1.15	0.39	0.38	0.46	0.43	0.36	0.61	0.41	5899.63	6640.29	6248.64	8.91	3206.89	2998.86	3713.62	214567.51	134955444.00	170053.20	539315239.00	175804.39	1847726.38	3781611.18	4076016.56	4.63	-111.50	-11.31	18826.25	21134.04	369402.00	-3537.30	-83931.60	5066372.70	145.04	475.07	103.20	97.00	104.10	117.70	100.30	107.00	111.40	104.20	323.85	303.64	16.14	4.08	8.41	318602.00	-5428.56	-91450.05	-1.81	20.14	29.36	-9.21	1580271.02	1993264.21	-412993.18	442857.00
3T13	0.35	0.27	0.16	0.61	0.23	0.25	0.30	1.36	1.50	1.05	0.43	0.45	0.52	0.48	0.46	0.43	0.71	0.41	6025.92	6746.25	6359.75	9.64	3175.62	3048.19	3616.57	229574.84	140713932.00	169761.56	567882037.00	171086.11	1892309.00	3856984.37	4161521.07	4.35	891.20	4.65	18858.49	20850.46	368654.00	-4283.50	-88255.10	5190057.00	136.70	473.65	103.50	96.00	103.90	118.60	100.60	103.40	106.40	102.70	322.78	302.38	17.15	3.24	8.90	309837.00	9047.87	-74100.37	-1.43	20.42	28.78	-8.36	1635596.72	2012523.68	-376926.97	438766.70
4T13	0.92	0.75	0.91	0.68	1.13	0.65	0.69	0.69	0.60	0.44	0.10	0.36	0.96	0.74	0.79	0.58	0.79	0.41	6164.51	6783.17	6432.11	10.28	3129.91	3098.66	3486.95	249509.78	163879089.00	187720.43	599825987.00	190771.86	1985467.61	3947967.10	4267350.45	3.97	-291.30	-1.86	18206.25	20845.84	358808.00	-4322.80	-79792.20	5331619.00	136.60	464.90	98.80	97.20	99.90	93.60	99.20	100.60	101.50	100.70	231.11	221.89	7.58	1.64	6.67	353813.00	-10407.34	-91306.12	-1.71	19.23	28.07	-8.84	1626334.87	2032449.95	-406115.08	473552.50
1T14	0.92	0.73	-0.02	0.80	1.54	0.74	0.85	1.48	1.67	1.29	0.28	0.55	0.88	0.58	0.59	0.59	0.77	0.41	6303.28	6977.13	6601.73	10.97	3208.09	3190.76	3560.77	228014.05	146575525.00	171493.82	614875533.00	174460.89	2004771.52	3987162.59	4323341.81	3.88	670.80	7.05	17510.07	17627.93	363914.00	-7536.30	-83411.60	5475942.70	125.78	486.21	101.10	100.30	101.80	108.80	99.40	103.70	105.40	103.30	272.75	255.21	13.84	3.70	7.14	240793.00	-3579.57	-86217.11	-1.57	19.74	27.28	-7.54	1685681.28	2035002.49	-349321.22	462159.80
